name,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Experimento_logistic_8_3_adaptive_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,3,500,adaptive,0.03,1e-05,0.9130107537323013,0.9286804466264913,0.9235659728506702,0.9246986079504144
Experimento_logistic_8_3_adaptive_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,3,500,adaptive,0.3,1e-05,0.8318227182440138,0.8202464205311666,0.8227449634730494,0.8106229132222857
Experimento_logistic_8_3_adaptive_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,3,500,adaptive,0.3,1e-05,0.8845045698237346,0.8861776889326538,0.8894175824811077,0.8833368929299364
Experimento_logistic_8_3_adaptive_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,3,500,adaptive,0.3,1e-05,0.8433731351979464,0.8053675862065992,0.8160896390157596,0.7995901872793804
Experimento_logistic_8_3_adaptive_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,3,500,adaptive,0.3,1e-05,0.7899582021080207,0.7361678497596673,0.7760917498562686,0.7443952741441786
Experimento_logistic_8_3_adaptive_0.3_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,3,500,adaptive,0.3,1e-05,0.8227300583379458,0.7588431526627819,0.7795095486874131,0.7571787835587668
Experimento_logistic_8_4_constant_0.003_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.003,1e-05,0.9175661737018539,0.9303102390236682,0.9281380520391627,0.9289607994082395
Experimento_logistic_8_4_constant_0.003_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.003,1e-05,0.9184475007040043,0.9329094267371925,0.9279149261596213,0.9300179836200254
Experimento_logistic_8_4_constant_0.003_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.003,1e-05,0.91690565048374,0.9298015653880155,0.9261246215338057,0.9276830212663484
Experimento_logistic_8_4_constant_0.003_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.003,1e-05,0.9183739713715727,0.9317928499750077,0.9279276765169628,0.9295333957582221
Experimento_logistic_8_4_constant_0.003_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.003,1e-05,0.9180804474553887,0.9307850166879094,0.927916787306728,0.9291074861186239
Experimento_logistic_8_4_constant_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.03,1e-05,0.9162443180653422,0.9319472785995279,0.9254438453951288,0.9279434280879476
Experimento_logistic_8_4_constant_0.03_1e-5,True,5,knn,3sigma,minmax,mlp,-1,logistic,8,4,500,constant,0.03,1e-05,0.9161705729461689,0.9322723149373804,0.9260340223827036,0.9282417374063933
