name,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Experimento4,True,5,knn,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9033880136938267,0.9199070885014219,0.913243772426785,0.9140199460139151
Experimento4,True,5,knn,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.8994926853689036,0.9169833323873415,0.9098944016753228,0.9115892327919551
Experimento4,True,5,knn,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9076492084402826,0.922452428063521,0.9170906282690406,0.9185647439936565
Experimento4,True,5,knn,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9054458639615639,0.9176491099517172,0.9173402154396462,0.9162957795113889
Experimento4,True,5,knn,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9031672099097904,0.9210205602720072,0.9157278881172868,0.9169503479498449
Experimento4,True,5,knn,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9012572275071993,0.9175681779017502,0.9113321045371844,0.9126408661771365
Experimento4,True,5,knn,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9016252517961549,0.9195443658007573,0.9124167419203095,0.91446073219799
Experimento4,True,5,knn,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9061800244054805,0.9227893889857324,0.9167151824224495,0.9182760580318066
Experimento4,True,5,knn,3sigma,zscore,mlp,-1,logistic,12,3,500,constant,0.3,1e-05,0.9046366636780203,0.9188193493716399,0.9140485165615694,0.914736657495714
Experimento5,True,5,knn,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9174948022368452,0.9324074526502265,0.926863596304463,0.9293562409886297
Experimento5,True,5,knn,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9180089680970089,0.9331694291597327,0.9276074000610258,0.9300763504419974
Experimento5,True,5,knn,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9193311474136341,0.933015046984574,0.9282565636966412,0.9303045553413201
Experimento5,True,5,knn,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9172004151736921,0.9322349896267657,0.926285514942534,0.9289461813395038
Experimento5,True,5,knn,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.921388674001258,0.9359533797760552,0.9303498410674695,0.9328686583960497
Experimento5,True,5,knn,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9183758055588822,0.9327123605811085,0.9275248814005815,0.9297252549359041
Experimento5,True,5,knn,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9173476356786114,0.932455900413704,0.9265981240130967,0.9291494178495896
Experimento5,True,5,knn,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9192574022944603,0.9337507225044945,0.9286038287458176,0.9308720618266373
Experimento5,True,5,knn,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9180819040158991,0.9335445331365346,0.9278522770855941,0.9303226604941252
Experimento5,True,5,knn,mad,minmax,knn,10,-1,-1,-1,-1,-1,-1,-1,0.9197712984211963,0.9344459183727711,0.9289271121597616,0.9314114596174949
