Experiment,missing_values,mv_percentage,imputer_method,outlier_method,normalization_method,classification_method,knn_neighbors,mlp_activation,mlp_first_layer,mlp_second_layer,mlp_max_iter,mlp_learning_rate,mlp_learning_rate_init,mlp_tol,accuracy,precision,recall,f1
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.927632193655654,0.9393190348358111,0.9371315938300595,0.9379480078465503
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9274114438183034,0.9390685174511006,0.936847910839185,0.9377865353125848
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9300568813852645,0.9422597012818933,0.9387027495825284,0.9403172479249717
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9315264969935513,0.943254509925595,0.9407599034378082,0.9418521489603778
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9289538874521088,0.9399710349763601,0.9386603507749255,0.9391188922384647
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9295420142181884,0.940928426368675,0.938971349421912,0.9397659390662962
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9296898281366491,0.9411075093567949,0.9387208816539431,0.9398073763250764
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.930203346636586,0.9416003357832137,0.9399246085700899,0.9406036428898821
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9295432010452711,0.9410297711747274,0.9381457102881953,0.9393603098832347
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9302771457024452,0.9416992482211783,0.9395087495982098,0.9404279910360174
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9289542111322223,0.9411412740400371,0.9383222110736199,0.9394911237678363
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9291007842769149,0.940420537072382,0.9379900762570103,0.9389960476868898
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9284398834320019,0.9402859053203206,0.937975610593927,0.9389346914022034
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9291743675560318,0.941332135546068,0.9384923701486609,0.9396879343730242
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9300568813852645,0.941890415349141,0.9390654173849178,0.9402747396781075
Ap-10-5-1500-0.003,True,5,il,mad,zscore,mlp,10,logistic,10,5,1500,adaptive,0.003,1e-05,0.9296161909108467,0.940960373977231,0.9391313041027306,0.9398141642216611
